imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<EC5CFB19-E6BB-4506-A97E-764F8F09936F@gmail.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<4A0C84D3-8FAE-4CA8-AE76-76B33024FBC1@gmail.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
3,<BE5BB2FB-1127-40A8-B4CF-2B9C3FA87872@gmail.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
4,<B9DCD230-8119-49B3-AAB6-5CD7E4CF19C2@gmail.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
5,<20130716153934.23549.56042.idtracker@ietfa.amsl.com>,NO,-103.6,,"No, score=-103.6 tagged_above=-999 required=5 tests=[AWL=-1.000, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<20130716204251.21682.72791.idtracker@ietfa.amsl.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
7,<20130718153354.15599.52397.idtracker@ietfa.amsl.com>,NO,-103.1,,"No, score=-103.1 tagged_above=-999 required=5 tests=[AWL=-0.500, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<20130719185305.11266.33462.idtracker@ietfa.amsl.com>,NO,-105,,"No, score=-105 tagged_above=-999 required=5 tests=[AWL=1.600, BAYES_00=-2.599, GB_I_INVITATION=-2, GB_I_LETTER=-2, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<20130722201523.30015.75397.idtracker@ietfa.amsl.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<722B9DB2-6856-4E51-8C96-17756148F0EE@iab.org>,NO,-102.149,,"No, score=-102.149 tagged_above=-999 required=5 tests=[AWL=-0.150, BAYES_00=-2.599, J_CHICKENPOX_53=0.6, USER_IN_WHITELIST=-100]",False,-2.0,False,0.22737794128918348
