imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<p06200704be173c463673@[10.37.1.30]>,,0.0 (/),,,False,-2.0,False,0.01866662754535925
2,<6.0.1.1.2.20050124172100.01e24f78@furball.foretec.com>,,0.0 (/),,,False,-2.0,False,0.01944676126334181
3,<41F557B7.9849.19E763DD@localhost>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
4,<6.0.1.1.2.20050125104035.01bff7c8@furball.foretec.com>,,0.0 (/),,,False,-2.0,False,0.01944676126334181
5,<D3612243BD90AFE71E8D2973@uncas.brevis.net>,,0.0 (/),,,False,-2.0,False,0.6491039975493897
6,<4f6d31e303601b49f2fe4160e231b739@alcatel.com>,,0.0 (/),,,False,-2.0,False,0.34529067587569834
7,<cc6b7e7c355c5f8169eb2dc3e9272462@alcatel.com>,,0.0 (/),,,False,-2.0,False,0.34529067587569834
8,<p06200709be29acd88f43@[10.37.1.32]>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
9,<e80562d794111ee2abf5579e83a388b3@daedelus.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
10,<38c55b7f33ba98347bff8cc18fb37531@daedelus.com>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
11,<ACD2E7916E4D445C76C7EC85@uncas.brevis.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
12,<2B15512F43C63E40284CDB6C@uncas.brevis.net>,,0.0 (/),,,False,-2.0,False,0.49999999999999784
13,<200502071838.j17IcAdX082281@aquinas.techsquare.com>,,0.5 (/),,,False,-1.0,False,0.49999999999999784
14,<41a271f8620e28b1a72b18b9594aafa3@daedelus.com>,,0.0 (/),,,False,-2.0,False,0.13435594887969954
15,<2e4fb9e888678244ecf2876962fad7e2@daedelus.com>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
16,<4207B1FA.9000405@infoblox.com>,,0.6 (/),,,False,-0.9,False,0.49999999999999784
17,<6.0.1.1.2.20050208071812.01bb8450@furball.foretec.com>,,0.0 (/),,,False,-2.0,False,0.01944676126334181
18,<1aef37e17a426b9cc7417b61be3123a6@daedelus.com>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
19,<F5DCC0397FA339D8B8A6520F@uncas.brevis.net>,,0.0 (/),,,False,-2.0,False,0.42069953925179354
