imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<0934CF0A-C23F-4CFE-888F-0ACC5A2521B0@gmail.com>,NO,-2,,"No, score=-2 tagged_above=-999 required=5 tests=[BAYES_00=-1.9,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=ham",False,-1.9,False,0.49999999999999784
2,<13B5A826-29E8-4ACA-87A4-9676A53FCBF2@amsl.com>,NO,-1.51,,"No, score=-1.51 tagged_above=-999 required=5 tests=[BAYES_50=0.8, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, T_RP_MATCHES_RCVD=-0.01] autolearn=ham",False,-2.0,False,0.49999999999999784
3,<0923364F-D9D6-4F44-87EC-984B37984F99@sbcglobal.net>,NO,2.9,**,"No, score=2.9 tagged_above=-999 required=5 tests=[BAYES_95=3, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=no",False,-1.9,False,0.49999999999999784
4,<20141106162153.6508693.43894.3029@gmail.com>,NO,0.95,,"No, score=0.95 tagged_above=-999 required=5 tests=[BAYES_50=0.8, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=no",False,-1.6,False,0.49999999999999784
5,<B2C945DF-F62D-441C-980E-0F248776D538@sbcglobal.net>,NO,0.7,,"No, score=0.7 tagged_above=-999 required=5 tests=[BAYES_50=0.8,  DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=ham",False,-1.9,False,0.49999999999999784
6,<CAOtqqv+Opp-yCOW88PjKHwKYkxPGE2PAMEXqaA+mGLvGh-nRYg@mail.gmail.com>,NO,0.15,,"No, score=0.15 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-0.6,False,0.49999999999999784
7,<CACwQ8Uh7v_XYds8yCzjpf_S2n0JLOe2jo3VnwoJGHUXzGOxTeg@mail.gmail.com>,NO,-0.1,,"No, score=-0.1 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
8,<20141106184104.6508693.53432.3037@gmail.com>,NO,-1.749,,"No, score=-1.749 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_ENVFROM_END_DIGIT=0.25, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=no",False,-1.6,False,0.49999999999999784
9,<D08104F6.4F6CD%anne@mcwessels.org>,YES,8.458,********,"Yes, score=8.458 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, FB_NUMYO=10.357, HTML_MESSAGE=0.001, MIME_QP_LONG_LINE=0.001, SPF_PASS=-0.001] autolearn=no",False,-2.0,False,0.669270692071739
10,<CAKN_T4C6xg6WsJaW6bf=MfFsocuM3wKsS3gfbRhhUHxEdnjZjA@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
11,<CAEeR_iBUhaR7fPkjsRfk2_7qwPjkE1rYZ+t6kpneCDcVZrtQcg@mail.gmail.com>,NO,-1.999,,"No, score=-1.999 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FREEMAIL_FROM=0.001, HTML_MESSAGE=0.001, SPF_PASS=-0.001] autolearn=ham",False,-0.9,False,0.49999999999999784
12,<B96AC9EB-CD76-4973-B085-17375A87115D@gmail.com>,YES,8.357,********,"Yes, score=8.357 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, FB_NUMYO=10.357, FREEMAIL_FROM=0.001, SPF_PASS=-0.001] autolearn=no",False,-1.9,False,0.669270692071739
13,<027f01cffa12$d6bd4fc0$8437ef40$@prodigy.net>,NO,-0.1,,"No, score=-0.1 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, DKIM_SIGNED=0.1, DKIM_VALID=-0.1, DKIM_VALID_AU=-0.1, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_NONE=-0.0001] autolearn=ham",False,-1.9,False,0.49999999999999784
